year,week,psi,rain,patient,result
2016.0,28.0,49.0,20.0,2940.0,2723.390625
2016.0,29.0,51.0,20.0,3427.0,2722.164794921875
2016.0,30.0,50.0,20.0,3566.0,2721.788330078125
2016.0,31.0,52.0,20.0,3499.0,2720.560546875
2016.0,32.0,57.0,15.0,3233.0,2718.125732421875
2016.0,33.0,49.0,15.0,2834.0,2719.731689453125
2016.0,34.0,60.0,15.0,2687.0,2715.9521484375
2016.0,35.0,61.0,15.0,2573.0,2715.005859375
2016.0,36.0,56.0,15.0,2371.0,2715.761962890625
2016.0,37.0,51.0,15.0,2566.0,2716.5185546875
2016.0,38.0,52.0,15.0,2449.0,2715.5712890625
2016.0,39.0,60.0,15.0,2384.0,2712.633056640625
2016.0,40.0,61.0,16.0,2378.0,2711.75
2016.0,41.0,48.0,16.0,2423.0,2714.783935546875
2016.0,42.0,48.0,16.0,2408.0,2714.118408203125
2016.0,43.0,56.0,16.0,2398.0,2711.173095703125
2016.0,44.0,45.0,16.0,2462.0,2713.639892578125
2016.0,45.0,52.0,20.0,2598.0,2711.245849609375
2016.0,46.0,50.0,20.0,2651.0,2711.1474609375
2016.0,47.0,48.0,20.0,2620.0,2711.049072265625
2016.0,48.0,34.0,20.0,2589.0,2714.380859375
2016.0,49.0,48.0,20.0,2377.0,2709.707275390625
2016.0,50.0,51.0,23.0,2410.0,2708.37451171875
2016.0,51.0,40.0,23.0,2275.0,2710.85546875
2016.0,52.0,36.0,23.0,2493.0,2711.329833984375
2017.0,1.0,41.0,21.0,2721.0,2743.09423828125
2017.0,2.0,54.0,21.0,2864.0,2738.8232421875
2017.0,3.0,46.0,21.0,3060.0,2740.41552734375
2017.0,4.0,34.0,21.0,3002.0,2743.12451171875
2017.0,5.0,41.0,21.0,3521.0,2740.527099609375
2017.0,6.0,51.0,15.0,3352.0,2736.60546875
2017.0,7.0,47.0,15.0,3316.0,2737.0791015625
2017.0,8.0,47.0,15.0,2993.0,2736.435302734375
2017.0,9.0,45.0,15.0,3008.0,2736.35009765625
2017.0,10.0,55.0,11.0,3038.0,2732.597900390625
2017.0,11.0,62.0,11.0,2711.0,2729.994384765625
2017.0,12.0,55.0,11.0,2977.0,2731.305908203125
2017.0,13.0,50.0,11.0,2839.0,2732.057861328125
2017.0,14.0,50.0,21.0,3023.0,2732.18359375
2017.0,15.0,54.0,21.0,3164.0,2730.407470703125
2017.0,16.0,61.0,21.0,3202.0,2727.783447265625
2017.0,17.0,60.0,21.0,3189.0,2727.411865234375
2017.0,18.0,57.0,21.0,3452.0,2727.60400390625
